year,month,median_difference,lower_95a,upper_95a,lower_95b,upper_95b,lower_95c,upper_95c,lower_95d,upper_95d,lower_95e,upper_95e
1850,1,-0.702,-0.758,-0.627,-0.892,-0.513,-1.051,-0.354,-0.899,-0.501,-1.102,-0.299
1850,2,-0.281,-0.334,-0.214,-0.47,-0.093,-0.622,0.059,-0.478,-0.078,-0.673,0.117
1850,3,-0.732,-0.797,-0.681,-0.935,-0.53,-1.009,-0.455,-0.943,-0.519,-1.08,-0.382
1850,4,-0.569,-0.628,-0.503,-0.773,-0.365,-0.824,-0.314,-0.785,-0.356,-0.904,-0.237
1850,5,-0.326,-0.382,-0.277,-0.521,-0.131,-0.591,-0.061,-0.531,-0.126,-0.662,0.005
1850,6,-0.212,-0.272,-0.156,-0.402,-0.022,-0.436,0.013,-0.414,-0.016,-0.515,0.085
1850,7,-0.128,-0.188,-0.075,-0.316,0.059,-0.392,0.135,-0.325,0.066,-0.457,0.199
1850,8,-0.232,-0.283,-0.182,-0.419,-0.046,-0.54,0.075,-0.425,-0.038,-0.595,0.132
1850,9,-0.435,-0.487,-0.384,-0.642,-0.227,-0.739,-0.131,-0.65,-0.22,-0.808,-0.063
1850,10,-0.452,-0.506,-0.39,-0.66,-0.244,-0.719,-0.184,-0.665,-0.231,-0.793,-0.104
1850,11,-0.189,-0.243,-0.134,-0.379,0.002,-0.411,0.034,-0.389,0.011,-0.488,0.11
1850,12,-0.267,-0.327,-0.207,-0.442,-0.091,-0.509,-0.024,-0.453,-0.078,-0.572,0.041
1851,1,-0.299,-0.357,-0.223,-0.481,-0.118,-0.657,0.058,-0.492,-0.107,-0.706,0.106
1851,2,-0.358,-0.412,-0.278,-0.538,-0.179,-0.69,-0.027,-0.546,-0.16,-0.737,0.03
1851,3,-0.482,-0.546,-0.426,-0.669,-0.295,-0.744,-0.219,-0.678,-0.282,-0.809,-0.151
1851,4,-0.444,-0.505,-0.373,-0.639,-0.248,-0.669,-0.219,-0.649,-0.235,-0.747,-0.136
1851,5,-0.3,-0.359,-0.254,-0.503,-0.097,-0.527,-0.072,-0.515,-0.093,-0.614,0.007
1851,6,-0.188,-0.253,-0.129,-0.383,0.007,-0.4,0.024,-0.395,0.014,-0.485,0.104
1851,7,-0.213,-0.274,-0.155,-0.41,-0.015,-0.472,0.046,-0.419,-0.008,-0.544,0.118
1851,8,-0.152,-0.2,-0.102,-0.343,0.039,-0.426,0.123,-0.349,0.046,-0.49,0.187
1851,9,-0.105,-0.161,-0.051,-0.324,0.113,-0.396,0.185,-0.33,0.121,-0.472,0.263
1851,10,-0.06,-0.112,0.003,-0.274,0.154,-0.318,0.198,-0.279,0.165,-0.397,0.283
1851,11,-0.027,-0.084,0.022,-0.248,0.193,-0.263,0.209,-0.257,0.2,-0.357,0.3
1851,12,-0.064,-0.125,-0.004,-0.258,0.13,-0.314,0.185,-0.27,0.138,-0.388,0.257
1852,1,-0.307,-0.363,-0.229,-0.49,-0.124,-0.673,0.059,-0.498,-0.111,-0.719,0.109
1852,2,-0.476,-0.528,-0.408,-0.672,-0.279,-0.776,-0.176,-0.682,-0.267,-0.84,-0.11
1852,3,-0.505,-0.57,-0.451,-0.695,-0.314,-0.755,-0.254,-0.705,-0.303,-0.825,-0.182
1852,4,-0.558,-0.618,-0.489,-0.755,-0.361,-0.787,-0.329,-0.764,-0.35,-0.866,-0.249
1852,5,-0.207,-0.263,-0.156,-0.387,-0.028,-0.453,0.038,-0.398,-0.022,-0.519,0.1
1852,6,-0.037,-0.102,0.02,-0.215,0.141,-0.251,0.177,-0.229,0.145,-0.326,0.242
1852,7,-0.015,-0.072,0.045,-0.203,0.172,-0.259,0.229,-0.209,0.182,-0.326,0.299
1852,8,-0.194,-0.248,-0.146,-0.378,-0.01,-0.479,0.091,-0.388,-0.005,-0.54,0.147
1852,9,-0.124,-0.174,-0.066,-0.331,0.083,-0.418,0.169,-0.337,0.092,-0.486,0.241
1852,10,-0.216,-0.275,-0.158,-0.41,-0.022,-0.453,0.021,-0.416,-0.012,-0.525,0.097
1852,11,-0.186,-0.244,-0.133,-0.37,-0.002,-0.402,0.031,-0.381,0.006,-0.478,0.103
1852,12,0.085,0.025,0.143,-0.089,0.259,-0.183,0.353,-0.102,0.269,-0.242,0.409
1853,1,-0.174,-0.226,-0.098,-0.346,-0.003,-0.49,0.142,-0.354,0.011,-0.537,0.192
1853,2,-0.326,-0.376,-0.261,-0.491,-0.162,-0.62,-0.033,-0.503,-0.148,-0.668,0.017
1853,3,-0.313,-0.373,-0.259,-0.479,-0.147,-0.543,-0.082,-0.488,-0.134,-0.602,-0.02
1853,4,-0.352,-0.409,-0.278,-0.516,-0.187,-0.593,-0.11,-0.526,-0.172,-0.648,-0.049
1853,5,-0.267,-0.322,-0.217,-0.431,-0.103,-0.522,-0.012,-0.444,-0.096,-0.579,0.039
1853,6,-0.176,-0.234,-0.122,-0.334,-0.019,-0.388,0.036,-0.346,-0.012,-0.449,0.091
1853,7,-0.057,-0.111,-0.003,-0.217,0.103,-0.318,0.204,-0.226,0.114,-0.368,0.256
1853,8,-0.146,-0.2,-0.101,-0.302,0.01,-0.453,0.161,-0.313,0.016,-0.497,0.2
1853,9,-0.405,-0.455,-0.357,-0.567,-0.243,-0.709,-0.101,-0.575,-0.234,-0.753,-0.056
1853,10,-0.36,-0.41,-0.303,-0.526,-0.194,-0.606,-0.114,-0.532,-0.182,-0.659,-0.055
1853,11,-0.257,-0.308,-0.204,-0.423,-0.09,-0.475,-0.038,-0.432,-0.082,-0.537,0.023
1853,12,-0.444,-0.502,-0.386,-0.612,-0.276,-0.683,-0.205,-0.622,-0.266,-0.742,-0.146
1854,1,-0.373,-0.419,-0.3,-0.526,-0.221,-0.684,-0.063,-0.532,-0.204,-0.72,-0.018
1854,2,-0.288,-0.341,-0.229,-0.44,-0.137,-0.59,0.014,-0.452,-0.122,-0.631,0.057
1854,3,-0.291,-0.35,-0.241,-0.445,-0.138,-0.507,-0.075,-0.454,-0.125,-0.56,-0.018
1854,4,-0.348,-0.412,-0.279,-0.514,-0.183,-0.56,-0.137,-0.526,-0.171,-0.624,-0.072
1854,5,-0.233,-0.29,-0.182,-0.394,-0.073,-0.47,0.004,-0.405,-0.065,-0.527,0.057
1854,6,-0.216,-0.273,-0.164,-0.367,-0.065,-0.4,-0.032,-0.379,-0.056,-0.462,0.028
1854,7,-0.231,-0.279,-0.176,-0.39,-0.071,-0.459,-0.002,-0.397,-0.061,-0.512,0.055
1854,8,-0.169,-0.22,-0.123,-0.309,-0.029,-0.441,0.103,-0.32,-0.022,-0.481,0.139
1854,9,-0.121,-0.178,-0.071,-0.27,0.029,-0.398,0.156,-0.278,0.04,-0.439,0.2
1854,10,-0.191,-0.247,-0.132,-0.337,-0.046,-0.433,0.05,-0.344,-0.031,-0.476,0.1
1854,11,-0.372,-0.422,-0.321,-0.514,-0.23,-0.595,-0.148,-0.523,-0.218,-0.642,-0.1
1854,12,-0.235,-0.298,-0.18,-0.382,-0.088,-0.504,0.034,-0.395,-0.077,-0.548,0.076
1855,1,-0.176,-0.228,-0.108,-0.32,-0.033,-0.519,0.166,-0.33,-0.019,-0.552,0.201
1855,2,-0.4,-0.45,-0.337,-0.54,-0.259,-0.695,-0.104,-0.551,-0.241,-0.731,-0.062
1855,3,-0.303,-0.366,-0.249,-0.452,-0.154,-0.557,-0.049,-0.464,-0.142,-0.603,-0.002
1855,4,-0.221,-0.278,-0.15,-0.366,-0.076,-0.441,-0.001,-0.377,-0.062,-0.491,0.052
1855,5,-0.337,-0.393,-0.285,-0.487,-0.187,-0.557,-0.117,-0.499,-0.18,-0.611,-0.068
1855,6,-0.163,-0.224,-0.108,-0.311,-0.014,-0.351,0.026,-0.324,-0.006,-0.412,0.082
1855,7,-0.269,-0.319,-0.215,-0.415,-0.123,-0.465,-0.073,-0.424,-0.113,-0.519,-0.019
1855,8,-0.162,-0.218,-0.113,-0.297,-0.027,-0.446,0.122,-0.31,-0.018,-0.483,0.155
1855,9,-0.343,-0.396,-0.29,-0.486,-0.2,-0.618,-0.068,-0.495,-0.188,-0.656,-0.027
1855,10,-0.211,-0.27,-0.151,-0.355,-0.068,-0.466,0.043,-0.365,-0.054,-0.507,0.089
1855,11,-0.217,-0.271,-0.161,-0.364,-0.071,-0.455,0.02,-0.374,-0.057,-0.501,0.07
1855,12,-0.513,-0.575,-0.45,-0.66,-0.366,-0.808,-0.218,-0.674,-0.353,-0.849,-0.178
1856,1,-0.107,-0.156,-0.035,-0.255,0.041,-0.501,0.287,-0.263,0.057,-0.529,0.321
1856,2,-0.369,-0.419,-0.306,-0.514,-0.224,-0.683,-0.054,-0.523,-0.205,-0.717,-0.012
1856,3,-0.508,-0.577,-0.46,-0.656,-0.361,-0.759,-0.257,-0.669,-0.348,-0.806,-0.21
1856,4,-0.378,-0.444,-0.309,-0.525,-0.231,-0.598,-0.158,-0.539,-0.217,-0.65,-0.106
1856,5,-0.119,-0.174,-0.066,-0.27,0.032,-0.338,0.101,-0.282,0.04,-0.394,0.151
1856,6,-0.289,-0.352,-0.236,-0.441,-0.138,-0.482,-0.097,-0.454,-0.13,-0.543,-0.04
1856,7,-0.298,-0.35,-0.24,-0.448,-0.149,-0.526,-0.071,-0.456,-0.137,-0.575,-0.018
1856,8,-0.305,-0.358,-0.255,-0.449,-0.161,-0.596,-0.015,-0.458,-0.152,-0.633,0.023
1856,9,-0.457,-0.507,-0.403,-0.603,-0.31,-0.733,-0.18,-0.611,-0.297,-0.771,-0.136
1856,10,-0.392,-0.446,-0.328,-0.54,-0.244,-0.64,-0.144,-0.546,-0.228,-0.682,-0.093
1856,11,-0.608,-0.655,-0.551,-0.753,-0.464,-0.819,-0.398,-0.76,-0.45,-0.866,-0.344
1856,12,-0.445,-0.504,-0.381,-0.595,-0.294,-0.699,-0.19,-0.606,-0.28,-0.745,-0.141
1857,1,-0.506,-0.553,-0.436,-0.655,-0.357,-0.834,-0.178,-0.661,-0.342,-0.867,-0.138
1857,2,-0.36,-0.41,-0.298,-0.507,-0.213,-0.729,0.009,-0.516,-0.194,-0.758,0.047
1857,3,-0.43,-0.488,-0.38,-0.577,-0.282,-0.685,-0.175,-0.587,-0.271,-0.729,-0.129
1857,4,-0.636,-0.695,-0.571,-0.781,-0.491,-0.835,-0.437,-0.795,-0.478,-0.891,-0.382
1857,5,-0.565,-0.629,-0.515,-0.708,-0.422,-0.78,-0.35,-0.72,-0.413,-0.831,-0.302
1857,6,-0.311,-0.379,-0.257,-0.452,-0.169,-0.495,-0.126,-0.466,-0.16,-0.552,-0.073
1857,7,-0.538,-0.592,-0.489,-0.683,-0.394,-0.741,-0.336,-0.693,-0.385,-0.793,-0.285
1857,8,-0.326,-0.374,-0.275,-0.472,-0.18,-0.598,-0.053,-0.48,-0.171,-0.639,-0.012
1857,9,-0.394,-0.446,-0.344,-0.542,-0.246,-0.658,-0.131,-0.549,-0.234,-0.699,-0.085
1857,10,-0.464,-0.525,-0.405,-0.611,-0.316,-0.701,-0.226,-0.622,-0.305,-0.749,-0.178
1857,11,-0.666,-0.719,-0.612,-0.82,-0.511,-0.894,-0.437,-0.829,-0.5,-0.947,-0.383
1857,12,-0.367,-0.431,-0.309,-0.518,-0.216,-0.649,-0.085,-0.533,-0.208,-0.696,-0.045
1858,1,-0.531,-0.579,-0.463,-0.681,-0.382,-0.877,-0.186,-0.688,-0.367,-0.91,-0.147
1858,2,-0.709,-0.765,-0.645,-0.857,-0.562,-1.042,-0.376,-0.867,-0.544,-1.076,-0.336
1858,3,-0.553,-0.623,-0.502,-0.695,-0.41,-0.813,-0.292,-0.711,-0.401,-0.858,-0.252
1858,4,-0.516,-0.576,-0.443,-0.671,-0.361,-0.719,-0.314,-0.682,-0.347,-0.777,-0.251
1858,5,-0.655,-0.722,-0.605,-0.807,-0.504,-0.873,-0.438,-0.82,-0.497,-0.929,-0.387
1858,6,-0.579,-0.651,-0.52,-0.733,-0.424,-0.785,-0.373,-0.748,-0.417,-0.847,-0.318
1858,7,-0.323,-0.375,-0.267,-0.478,-0.167,-0.526,-0.12,-0.487,-0.156,-0.583,-0.059
1858,8,-0.281,-0.336,-0.237,-0.429,-0.133,-0.572,0.011,-0.437,-0.124,-0.611,0.051
1858,9,-0.339,-0.398,-0.291,-0.498,-0.181,-0.616,-0.063,-0.508,-0.173,-0.664,-0.017
1858,10,-0.204,-0.271,-0.145,-0.38,-0.028,-0.447,0.039,-0.391,-0.019,-0.51,0.101
1858,11,-0.645,-0.7,-0.587,-0.808,-0.482,-0.885,-0.405,-0.817,-0.47,-0.94,-0.348
1858,12,-0.304,-0.364,-0.237,-0.464,-0.143,-0.584,-0.023,-0.475,-0.129,-0.631,0.027
1859,1,-0.311,-0.365,-0.248,-0.469,-0.153,-0.699,0.076,-0.478,-0.14,-0.732,0.113
1859,2,-0.195,-0.253,-0.136,-0.351,-0.04,-0.587,0.196,-0.366,-0.03,-0.624,0.229
1859,3,-0.336,-0.41,-0.288,-0.504,-0.169,-0.614,-0.059,-0.518,-0.16,-0.669,-0.009
1859,4,-0.2,-0.263,-0.127,-0.379,-0.02,-0.417,0.018,-0.389,-0.007,-0.487,0.092
1859,5,-0.312,-0.381,-0.261,-0.485,-0.14,-0.531,-0.094,-0.496,-0.132,-0.598,-0.029
1859,6,-0.249,-0.326,-0.195,-0.421,-0.077,-0.452,-0.046,-0.437,-0.07,-0.527,0.02
1859,7,-0.283,-0.346,-0.23,-0.456,-0.109,-0.492,-0.073,-0.468,-0.102,-0.563,-0.006
1859,8,-0.099,-0.167,-0.05,-0.255,0.058,-0.365,0.168,-0.268,0.065,-0.415,0.213
1859,9,-0.574,-0.632,-0.519,-0.752,-0.396,-0.85,-0.298,-0.76,-0.386,-0.906,-0.24
1859,10,-0.256,-0.319,-0.2,-0.429,-0.082,-0.502,-0.01,-0.44,-0.074,-0.564,0.05
1859,11,-0.324,-0.385,-0.271,-0.501,-0.147,-0.592,-0.055,-0.513,-0.138,-0.653,0.002
1859,12,-0.358,-0.424,-0.297,-0.526,-0.191,-0.659,-0.057,-0.539,-0.181,-0.71,-0.01
1860,1,-0.195,-0.245,-0.129,-0.356,-0.033,-0.58,0.191,-0.365,-0.021,-0.615,0.229
1860,2,-0.431,-0.487,-0.371,-0.603,-0.259,-0.803,-0.059,-0.615,-0.249,-0.847,-0.018
1860,3,-0.649,-0.722,-0.601,-0.82,-0.479,-0.965,-0.333,-0.836,-0.473,-1.018,-0.289
1860,4,-0.345,-0.404,-0.276,-0.514,-0.177,-0.565,-0.125,-0.525,-0.165,-0.629,-0.061
1860,5,-0.3,-0.374,-0.255,-0.473,-0.127,-0.535,-0.066,-0.486,-0.12,-0.6,-0.005
1860,6,-0.308,-0.383,-0.255,-0.486,-0.131,-0.519,-0.097,-0.5,-0.123,-0.594,-0.029
1860,7,-0.115,-0.18,-0.065,-0.282,0.051,-0.316,0.086,-0.294,0.057,-0.384,0.149
1860,8,-0.193,-0.253,-0.139,-0.355,-0.03,-0.481,0.096,-0.365,-0.023,-0.529,0.142
1860,9,-0.224,-0.275,-0.168,-0.395,-0.053,-0.501,0.053,-0.402,-0.041,-0.552,0.109
1860,10,-0.197,-0.261,-0.142,-0.367,-0.027,-0.446,0.052,-0.383,-0.021,-0.509,0.106
1860,11,-0.508,-0.573,-0.452,-0.674,-0.342,-0.77,-0.246,-0.687,-0.333,-0.826,-0.194
1860,12,-0.753,-0.833,-0.692,-0.928,-0.577,-1.108,-0.398,-0.946,-0.571,-1.159,-0.356
1861,1,-0.9,-0.967,-0.835,-1.074,-0.727,-1.334,-0.467,-1.088,-0.715,-1.374,-0.43
1861,2,-0.526,-0.597,-0.456,-0.696,-0.356,-1.02,-0.031,-0.711,-0.342,-1.055,0.001
